estacion;latitud;altitud;a�o;mes;dia;precipitacion
  Osorno Ad.;40&deg 36' 18'' S;61;2017;1;27;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2017;1;28;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2017;1;29;0.7
  Osorno Ad.;40&deg 36' 18'' S;61;2017;1;30;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2017;1;31;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;1;1;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;1;2;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;1;3;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;1;4;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;1;5;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;1;6;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;1;7;6.8
  Osorno Ad.;40&deg 36' 18'' S;61;2019;1;8;8.4
  Osorno Ad.;40&deg 36' 18'' S;61;2019;1;9;0.4
  Osorno Ad.;40&deg 36' 18'' S;61;2019;1;10;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;1;11;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;1;12;2.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;1;13;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;1;14;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;1;15;0.4
  Osorno Ad.;40&deg 36' 18'' S;61;2019;1;16;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;1;17;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;1;18;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;1;19;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;1;20;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;1;21;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;1;22;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;1;23;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;1;24;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;1;25;1.2
  Osorno Ad.;40&deg 36' 18'' S;61;2019;1;26;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;1;27;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;1;28;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;1;29;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;1;30;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;1;31;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;1;1;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;1;2;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;1;3;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;1;4;0.2
  Osorno Ad.;40&deg 36' 52'' S;61;2020;1;5;4.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;1;6;1.6
  Osorno Ad.;40&deg 36' 52'' S;61;2020;1;7;13.8
  Osorno Ad.;40&deg 36' 52'' S;61;2020;1;8;4.6
  Osorno Ad.;40&deg 36' 52'' S;61;2020;1;9;4.2
  Osorno Ad.;40&deg 36' 52'' S;61;2020;1;10;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;1;11;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;1;12;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;1;13;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;1;14;0.8
  Osorno Ad.;40&deg 36' 52'' S;61;2020;1;15;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;1;16;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;1;17;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;1;18;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;1;19;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;1;20;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;1;21;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;1;22;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;1;23;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;1;24;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;1;25;0.2
  Osorno Ad.;40&deg 36' 52'' S;61;2020;1;26;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;1;27;1.8
